bpmrp0,Prot
0.46300,0.71526
0.49065,1.3828
0.51676,2.1219
0.54133,2.7657
0.57205,3.5048
0.61046,4.2200
0.63810,5.1260
0.66266,6.0797
0.68723,6.9380
0.70410,7.7963
0.71791,8.4401
0.73019,8.9169
0.75169,9.5368
0.77934,10.347
0.80391,10.967
0.83464,11.444
0.87460,11.873
0.89920,12.112
0.93917,12.255
0.99453,12.112
1.0437,11.873
1.0883,11.802
1.1375,11.849
1.1837,11.945
1.2329,12.159
1.2928,12.302
1.3543,12.589
1.4066,12.970
1.4650,13.304
1.5111,13.566
1.5603,13.876
1.6126,14.305
1.6833,14.639
1.7356,15.020
1.7817,15.259
1.8401,15.736
1.9077,16.403
1.9784,17.023
2.0430,17.643
2.0860,18.072
2.1383,18.740
2.1721,19.503
2.2151,20.409
2.2550,20.981
2.2858,21.839
2.3165,22.745
2.3533,23.556
2.3871,24.366
2.4055,25.416
2.4378,26.107
2.4916,26.369
2.5439,26.512
2.6054,26.703
2.6700,26.655
2.7192,26.703
2.7776,26.846
2.8237,26.989
2.8698,26.989
2.9098,26.941
2.9191,25.106
2.9223,23.222
2.9301,21.339
2.9379,18.215
2.9472,16.832
2.9534,14.925
2.9658,13.351
2.9710,11.396
2.9721,10.014
2.9814,7.3910
2.9999,6.1035
3.0184,5.6267
3.0430,4.9591
3.0800,4.2916
3.1231,3.3856
3.1631,2.7657
3.2092,2.1935
3.3107,1.9074
