bpmrp0,Prot
0.46300,0.71526
0.50296,1.0967
0.54907,1.5259
0.57366,1.9550
0.59823,2.6226
0.61050,3.2902
0.62585,3.8624
0.65349,4.8638
0.68728,5.6744
0.71492,6.5327
0.74256,7.3910
0.77944,7.9632
0.81940,8.4401
0.86858,9.0123
0.91777,9.4653
0.97004,9.6798
1.0162,9.9183
1.0653,10.252
1.1053,10.490
1.1484,10.967
1.1883,11.396
1.2344,11.826
1.2928,12.112
1.3543,12.589
1.4066,12.970
1.4650,13.304
1.5111,13.566
1.5603,13.876
1.6126,14.305
1.6833,14.639
1.7356,15.020
1.7817,15.259
1.8401,15.736
1.9077,16.403
1.9784,17.023
2.0430,17.643
2.0860,18.072
2.1383,18.740
2.1721,19.503
2.2151,20.409
2.2550,20.981
2.2858,21.839
2.3165,22.745
2.3533,23.556
2.3871,24.366
2.4055,25.416
2.4378,26.107
2.4916,26.369
2.5439,26.512
2.6054,26.703
2.6700,26.655
2.7192,26.703
2.7776,26.846
2.8237,26.989
2.8698,26.989
2.9098,26.941
2.9191,25.106
2.9223,23.222
2.9301,21.339
2.9379,18.215
2.9472,16.832
2.9534,14.925
2.9658,13.351
2.9710,11.396
2.9721,10.014
2.9814,7.3910
2.9999,6.1035
3.0184,5.6267
3.0430,4.9591
3.0800,4.2916
3.1231,3.3856
3.1631,2.7657
3.2092,2.1935
3.3107,1.9074
