SpT    Teff  Rsun   Msun   BmV     BpmRp
O7V    36500 9.62   28     -0.32   ...   
O7.5V  35000 9.11   24     -0.32   ...   
O8V    34500 8.75   22.9   -0.32   ...   
O8.5V  33000 8.33   20.5   -0.32   ...   
O9V    32500 8.11   19.7   -0.318  ...   
O9.5V  32000 7.80   18.5   -0.312  ...   
B0V    31500 7.53   17.5   -0.307  ...   
B0.5V  29000 6.81   15     -0.295  ...   
B1V    26000 5.72   11     -0.278  ...   
B1.5V  24500 4.89   10     -0.252  ...   
B2V    20600 3.85   7.3    -0.210  ...   
B2.5V  18500 3.45   6.1    -0.198  ...   
B3V    17000 3.48   5.4    -0.178  ...   
B4V    16700 3.41   5.0    -0.165  ...   
B5V    15700 3.40   4.6    -0.156  ...   
B6V    14500 2.95   4.0    -0.140  ...   
B7V    14000 2.99   3.9    -0.128  ...   
B8V    12500 2.91   3.4    -0.109  ...   
B9V    10700 2.28   2.8    -0.070  0.120 
B9.5V  10400 2.26   2.5    -0.050  0.087 
A0V    9700  2.09   2.3    0.000   0.037 
A1V    9200  2.00   2.15   0.040   0.011 
A2V    8840  1.97   2.05   0.070   0.068 
A3V    8550  2.01   2.00   0.090   0.096 
A4V    8270  1.94   1.90   0.140   0.166 
A5V    8080  1.94   1.85   0.160   0.194 
A6V    8000  1.93   1.83   0.170   0.208 
A7V    7800  1.86   1.76   0.210   0.263 
A8V    7500  1.81   1.67   0.250   0.320 
A9V    7440  1.84   1.67   0.255   0.327 
F0V    7220  1.79   1.59   0.290   0.377 
F1V    7030  1.64   1.50   0.330   0.434 
F2V    6810  1.61   1.44   0.370   0.490 
F3V    6720  1.60   1.43   0.390   0.518 
F4V    6640  1.53   1.39   0.410   0.546 
F5V    6510  1.46   1.33   0.440   0.587 
F6V    6340  1.36   1.25   0.484   0.640 
F7V    6240  1.30   1.21   0.510   0.670 
F8V    6170  1.25   1.18   0.530   0.694 
F9V    6060  1.23   1.14   0.552   0.719 
F9.5V  6000  1.18   1.11   0.572   0.767 
G0V    5920  1.12   1.08   0.596   0.782 
G1V    5880  1.12   1.07   0.625   0.803 
G2V    5770  1.01   1.02   0.650   0.823 
G3V    5720  1.01   1.00   0.660   0.832 
G4V    5680  0.986  0.99   0.670   0.841 
G5V    5660  0.982  0.98   0.680   0.850 
G6V    5590  0.939  0.97   0.700   0.869 
G7V    5530  0.949  0.96   0.710   0.880 
G8V    5490  0.909  0.94   0.730   0.900 
G9V    5340  0.876  0.90   0.775   0.950 
K0V    5280  0.817  0.87   0.816   0.98  
K0.5V  5240  0.828  0.86   0.825   1.00  
K1V    5170  0.814  0.85   0.842   1.01  
K1.5V  5140  0.809  0.82   0.860   1.05  
K2V    5040  0.763  0.78   0.884   1.10  
K2.5V  4990  0.742  0.76   0.938   1.17  
K3V    4830  0.729  0.75   0.986   1.21  
K3.5V  4700  0.720  0.73   1.050   1.27  
K4V    4600  0.726  0.72   1.100   1.32  
K4.5V  4540  0.737  0.71   1.116   1.38  
K5V    4410  0.698  0.68   1.150   1.45  
K5.5V  4330  0.672  0.66   1.200   1.51  
K6V    4230  0.661  0.65   1.240   1.58  
K6.5V  4190  0.656  0.64   1.310   1.64  
K7V    4070  0.654  0.63   1.330   1.71  
K8V    4000  0.587  0.59   1.380   1.72  
K9V    3940  0.552  0.56   1.420   1.78  
M0V    3870  0.559  0.55   1.408   1.84  
M0.5V  3800  0.535  0.54   1.441   1.97  
M1V    3700  0.496  0.49   1.475   2.09  
M1.5V  3650  0.460  0.47   1.486   2.14  
M2V    3550  0.434  0.44   1.500   2.25  
M2.5V  3500  0.393  0.40   1.522   2.39  
M3V    3410  0.369  0.36   1.544   2.49  
M3.5V  3250  0.291  0.26   1.602   2.71  
M4V    3200  0.258  0.22   1.661   2.95  
M4.5V  3100  0.243  0.18   1.72    3.13  
M5V    3030  0.199  0.16   1.874   3.36  
M5.5V  3000  0.149  0.12   1.91    3.70  
M6V    2850  0.127  0.10   2.00    3.95  
M6.5V  2710  0.129  0.09   2.06    4.41  
M7V    2650  0.118  0.09   2.06    4.75  
M7.5V  2600  0.112  0.08   2.17    4.77  
M8V    2500  0.111  0.08   2.20    4.80  
M8.5V  2440  0.107  0.08   ...     5.03  
M9V    2400  0.095  0.07   ...     ... 
M9.5V  2320  0.104  0.07   ...     ...   
L0V    2250  0.108  0.07   ...     ...   
L1V    2100  0.107  0.07   ...     ...   
L2V    1960  0.104  0.07   ...     ...   

