SpT   Teff  Rsun Msun
O7V    36500 9.62   28  
O7.5V  35000 9.11   24  
O8V    34500 8.75   22.9
O8.5V  33000 8.33   20.5
O9V    32500 8.11   19.7
O9.5V  32000 7.80   18.5
B0V    31500 7.53   17.5
B0.5V  29000 6.81   15  
B1V    26000 5.72   11  
B1.5V  24500 4.89   10  
B2V    20600 3.85   7.3 
B2.5V  18500 3.45   6.1 
B3V    17000 3.48   5.4 
B4V    16700 3.41   5.0 
B5V    15700 3.40   4.6 
B6V    14500 2.95   4.0 
B7V    14000 2.99   3.9 
B8V    12500 2.91   3.4 
B9V    10700 2.28   2.8 
B9.5V  10400 2.26   2.5 
A0V    9700  2.09   2.3 
A1V    9200  2.00   2.15
A2V    8840  1.97   2.05
A3V    8550  2.01   2.00
A4V    8270  1.94   1.90
A5V    8080  1.94   1.85
A6V    8000  1.93   1.83
A7V    7800  1.86   1.76
A8V    7500  1.81   1.67
A9V    7440  1.84   1.67
F0V    7220  1.79   1.59
F1V    7030  1.64   1.50
F2V    6810  1.61   1.44
F3V    6720  1.60   1.43
F4V    6640  1.53   1.39
F5V    6510  1.46   1.33
F6V    6340  1.36   1.25
F7V    6240  1.30   1.21
F8V    6170  1.25   1.18
F9V    6060  1.23   1.14
F9.5V  6000  1.18   1.11
G0V    5920  1.12   1.08
G1V    5880  1.12   1.07
G2V    5770  1.01   1.02
G3V    5720  1.01   1.00
G4V    5680  0.986  0.99
G5V    5660  0.982  0.98
G6V    5590  0.939  0.97
G7V    5530  0.949  0.96
G8V    5490  0.909  0.94
G9V    5340  0.876  0.90
K0V    5280  0.817  0.87
K0.5V  5240  0.828  0.86
K1V    5170  0.814  0.85
K1.5V  5140  0.809  0.82
K2V    5040  0.763  0.78
K2.5V  4990  0.742  0.76
K3V    4830  0.729  0.75
K3.5V  4700  0.720  0.73
K4V    4600  0.726  0.72
K4.5V  4540  0.737  0.71
K5V    4410  0.698  0.68
K5.5V  4330  0.672  0.66
K6V    4230  0.661  0.65
K6.5V  4190  0.656  0.64
K7V    4070  0.654  0.63
K8V    4000  0.587  0.59
K9V    3940  0.552  0.56
M0V    3870  0.559  0.55
M0.5V  3800  0.535  0.54
M1V    3700  0.496  0.49
M1.5V  3650  0.460  0.47
M2V    3550  0.434  0.44
M2.5V  3500  0.393  0.40
M3V    3410  0.369  0.36
M3.5V  3250  0.291  0.26
M4V    3200  0.258  0.22
M4.5V  3100  0.243  0.18
M5V    3030  0.199  0.16
M5.5V  3000  0.149  0.12
M6V    2850  0.127  0.10
M6.5V  2710  0.129  0.09
M7V    2650  0.118  0.09
M7.5V  2600  0.112  0.08
M8V    2500  0.111  0.08
M8.5V  2440  0.107  0.08
M9V    2400  0.095  0.07
M9.5V  2320  0.104  0.07
L0V    2250  0.108  0.07
L1V    2100  0.107  0.07
L2V    1960  0.104  0.07
