TIC ID|CTOI|MASTER|SG1A|SG1B|SG2|SG3|SG4|SG5|User Disposition|TFOPWG Disposition|TESS Mag|TESS Mag err|RA|Dec|PM RA (mas/yr)|PM RA err (mas/yr)|PM Dec (mas/yr)|PM RA (mas/yr)|Midpoint (BJD)|Midpoint err|Period (days)|Period (days) Error|Depth mmag|Depth mmag Error|Depth ppm|Depth ppm Error|Duration (hrs)|Duration (hrs) Error|Inclination (deg)|Inclination (deg) Error|Impact Param|Impact Param Error|Rad_p/Rad_s|Rad_p/Rad_s Error|a/Rad_s|a/Rad_s Error|Radius (R_Earth)|Radius (R_Earth) Error|Mass (M_Earth)|Mass (M_Earth) Error|Insolation (Earth Flux)|Insolation (Earth Flux) Error|Equilibrium Temp (K)|Equilibrium Temp (K) Error|Fitted Stellar Density (g/cm^3)|Fitted Stellar Density (g/cm^3) Error|Semi-Major Axis (AU)|Semi-Major Axis (AU) Error|Eccentricity|Eccentricity (Error)|Arg of Periastron|Arg of Periastron Error|Time of Periastron (BJD)|Time of Periastron (BJD) Error|Velocity Semi-amp (m/s)|Velocity Semi-amp (m/s) Error|Stellar Distance (pc)|Stellar Distance (pc) err|Stellar Eff Temp (K)|Stellar Eff Temp (K) err|Stellar log(g) (cm/s^2)|Stellar log(g) (cm/s^2) err|Stellar Radius (R_Sun)|Stellar Radius (R_Sun) err|CTOI lastmod|User|Group|Tag|Notes
24725031|24725031.01||||||||FP||7.35422|0.006|81.517408|-10.757758|-10.45|0.14|-1.949|0.122|2458438.44|.001|0.53299|0.00015|4.133657||3800||||||||||||||||||||||||||||||||236.086|3.859|12818|150|||||2019-09-13 13:41:57|earley||5650|Eclipsing binary candidate in Pisces-Eridanus stellar stream
25078924|25078924.01||||||||PC||10.705|0.006|60.930974|-65.972806|6.015|0.049|18.104|0.049|2458325.5091||0.9097222||16.723865||15285.2256555255||1.56666666666667||||||||||14.434011815694||||||||||||||||||||228.492|1.4215|5737|131.98|4.27563|.0745082|1.21763|.0589447|2019-08-02 00:39:26|lipponen||5065|sector1
25078924|25078924.02||||||||PC||10.705|0.006|60.930974|-65.972806|6.015|0.049|18.104|0.049|2458325.9605||0.9034722||67.676072||60429.0706446056||1.7||||||||||28.6994838889778||||||||||||||||||||228.492|1.4215|5737|131.98|4.27563|.0745082|1.21763|.0589447|2019-08-02 00:39:26|lipponen||5065|sector1
25226885|25226885.01||||||||PC||11.9329|0.007|326.957969|-20.235107|1.638|0.08|-12.488|0.08|2458325.8415||1.63125||2333.408249||883416.604382057||2.56666666666667||||||||||41.1147235452682||||||||||||||||||||578.167|17.6165|6222|132.256|4.14893|.0860199|1.52812|.0831634|2019-06-06 03:40:31|lipponen||3787|sector1
25226885|25226885.02||||||||PC||11.9329|0.007|326.957969|-20.235107|1.638|0.08|-12.488|0.08|2458326.661||1.630556||4529.902496||984581.610895565||2.56666666666667||||||||||14.951973716145||||||||||||||||||||578.167|17.6165|6222|132.256|4.14893|.0860199|1.52812|.0831634|2019-06-06 03:40:31|lipponen||3787|sector1
29478974|29478974.01||||||||PC||10.619|0.006|314.081686|-26.588698|17.123|0.114|-39.198|0.072|2458326.4654||24.90278||4636.327172||986021.224468432||3.33333333333333||||||||||9.96490619535896||||||||||||||||||||197.173|2.881|4737|77|||1.75839||2019-05-12 09:25:49|lipponen||3542|firstBulkUpload
29478974|29478974.02||||||||PC||10.619|0.006|314.081686|-26.588698|17.123|0.114|-39.198|0.072|2458333.7848||12.45833||2896.048467||930564.652542362||3.33333333333333||||||||||22.6316204773103||||||||||||||||||||197.173|2.881|4737|77|||1.75839||2019-05-12 09:25:49|lipponen||3542|firstBulkUpload
29667425|29667425.01||||||||PC||10.2633|0.006|315.330873|-27.31751|6.063|0.106|-21.191|0.072|2458335.9584||||6146.424417||996521.193817212||2||||||||||6.6749670188886||||||||||||||||||||234.097|4.5865|5670|126.501|4.04936|.0793904|1.57066|.0815428|2019-05-25 09:17:28|lipponen||3787|sector1
29786532|29786532.01||||||||PC||14.5317|0.006|109.978473|-40.231884|-9.834|0.073|6.506|0.084|2458493.009889008|.0008533117361366749|1.5878844940770864|0.00010213645650813952|245.215476|26.312327|202163.6677133884|23943.249745283374|2.369187986195578|0.056722419624215765|82.72427161544246|.6133751257470124|.7967204455508694|.06932400678233062|.44962614215967067|.03765447039447417|6.291003586248814|.1462038186523067|41.51029650683124|12.453088952049372|||||||||||||||||||315.71|4.2125|3645|122|4.3072||.846396||2019-09-18 09:12:28|bouma|tfopwg|5722|Cand HJ/BD, Collinder135 (40 Myr). Rp is OK (Burrows+2001). CMD good (pre-MS). RA/dec on outskirts. (CDIPS; Bouma+19).
29986808|29986808.01||||||||PC||10.4281|0.006|72.912417|-68.270346|32.937|0.153|65.116|0.181|2458325.6324||2.134028||7062.6987||998504.038144169||1.26666666666667||||||||||5.72211671898283||||||||||||||||||||218.233|3.7885|6276|135.281|4.32471|.0888507|1.26367|.061206|2019-05-25 09:17:28|lipponen||3787|sector1
29986808|29986808.02||||||||PC||10.4281|0.006|72.912417|-68.270346|32.937|0.153|65.116|0.181|2458326.6922||2.122917||6085.932313||996321.870001908||1.33333333333333||||||||||8.9724281569239||||||||||||||||||||218.233|3.7885|6276|135.281|4.32471|.0888507|1.26367|.061206|2019-05-25 09:17:28|lipponen||3787|sector1
31273263|31273263.01||||||||PC||10.7858|0.006|88.103754|-68.159441|5.418|0.049|26.235|0.048|2458337.8598||||1795.812763||808717.651750035||8.03333333333333||||||||||118.56853801958||||||||||||||||||||495.635|5.735|5631.77|122.057|3.46682|.0805734|3.05932|.162|2019-06-06 03:40:31|lipponen||3787|sector1
32150630|32150630.01||||||||PC||11.9631|0.006|59.244576|-68.625973|35.835|4.138|37.421|4.138|2458325.719||1.494444||2370.726831||887355.687755761||1.83333333333333||||||||||25.803044506485||||||||||||||||||||||4323|173|||.704821|.0703579|2019-05-25 09:17:28|lipponen||3787|sector1
32150630|32150630.02||||||||PC||11.9631|0.006|59.244576|-68.625973|35.835|4.138|37.421|4.138|2458326.4704||1.488889||3974.745354||974290.012922452||1.43333333333333||||||||||12.3272796079202||||||||||||||||||||||4323|173|||.704821|.0703579|2019-05-25 09:17:28|lipponen||3787|sector1
39018208|39018208.01||||||||PC||11.1032|0.006|12.089468|-66.160258|-2.821|0.042|3.22|0.037|2458327.9262||6.645833||6007.623652||996046.784046854||2.93333333333333||||||||||10.5341899780203||||||||||||||||||||399.552|3.6405|6081.5|116.224|4.08411|.0771962|1.60484|.0737939|2019-06-06 03:40:31|lipponen||3787|sector1
