quarter,tstart,tstop,bjdref
0,120.52940909,130.25619511,2454833.0
1,131.50269271,164.99442052,2454833.0
2,169.51035784,258.47742311,2454833.0
3,260.21422233,349.50549475,2454833.0
4,352.3661067,442.21350788,2454833.0
6,539.44021172,629.30638323,2454833.0
7,630.16457067,719.55802717,2454833.0
8,735.35283177,802.35528816,2454833.0
10,906.83622452,1000.27843802,2454833.0
11,1001.19789457,1098.33546514,2454833.0
12,1099.39796088,1182.03225305,2454833.0
14,1274.1300317,1371.33219572,2454833.0
15,1373.47762521,1471.14646651,2454833.0
16,1472.08635156,1557.96971885,2454833.0
