src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,comments,logg,logg Err,N_planets,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p,Centroid offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Created,Updated
spoc,22221375,00652.01,PC,149.124333,-24.099333,7.358,0.017,1543.254774,0.002001,3.984627,0.000512,2.398698,0.347213,389.73384,23.16654,9,small PC in known system (HD 86226 b has P = 1695 days),4.44653,0.0,1,1.02,0.0,2.046621,1.354847,1174.184168,5903.0,0.0,449.227034,16.159866,False,2,4,1,1,4,4,4,2019-05-06 19:17:03.468372+00:00,2019-05-07 15:05:05.611090+00:00
spoc,33153766,00653.01,PC,144.773714,-45.426211,8.498,0.018,1543.227316,0.001078,0.688413,5.3e-05,1.503725,0.291402,390.627662,22.572357,9,"Need SG1 to check neighbor TIC 33153755 at ~14.32""; period might be too short for the stellar radius (too close to stellar surface).",3.47323,0.304437,1,3.22605,0.441752,6.485009,5.665568,3805.810598,6054.0,193.0,49580.361221,14.02045,False,3,4,3,3,4,4,4,2019-05-06 19:17:03.631948+00:00,2019-05-07 15:05:05.592943+00:00
spoc,35009898,00654.01,PC,164.7242,-5.5464,12.172,0.04,1543.435847,0.001885,1.527419,0.000195,1.211359,0.399291,2889.180002,233.79655,9,low SNR in qlp; unknown GAIA DR2 radius,4.89676,0.432223,1,0.353,0.065,1.90826,1.223543,662.680892,3433.0,86.0,45.576272,12.836975,False,1,4,1,1,4,4,4,2019-05-06 19:17:03.676350+00:00,2019-05-07 15:05:05.588415+00:00
spoc,35516889,00655.01,PC,148.416993,-45.659187,11.545,0.019,1543.621975,0.000178,0.788843,1e-05,1.624113,0.013102,24762.046489,149.46536,9,WASP-19 b,4.39267,0.0,1,1.0,0.0,16.546514,0.093412,1933.622116,5568.0,0.0,3303.751858,167.72273,False,5,5,5,5,5,5,5,2019-05-06 19:17:03.720879+00:00,2019-05-07 15:05:05.583897+00:00
spoc,36734222,00656.01,PC,154.908361,-9.806286,11.016,0.018,1543.603636,8.7e-05,0.81347,5e-06,1.226305,0.006867,26827.116808,95.925896,9,WASP-43b,4.64555,0.0,1,0.6,0.0,10.423753,0.04514,1260.530665,4400.0,0.0,596.670633,309.28363,False,5,5,5,5,5,5,5,2019-05-06 19:17:03.766155+00:00,2019-05-07 15:05:05.579315+00:00
spoc,48103627,00657.01,PC,147.406737,-33.218487,12.375,0.018,1547.312553,0.001395,4.569904,0.000539,3.913666,0.126971,10266.215136,285.23013,9,large planet,4.283,0.0,1,1.28576,1.28576,13.24057,13.247647,1287.454567,6122.0,188.0,649.304855,31.02104,False,3,4,3,3,4,4,4,2019-05-06 19:17:03.957084+00:00,2019-05-07 15:05:05.556468+00:00
spoc,48476907,00658.01,PC,150.152995,-34.681945,9.397,0.017,1543.70074,0.00333,4.719906,0.001021,1.825078,0.197044,1940.571553,185.37564,9,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486),4.22041,2.01084,1,1.48858,1.48858,10.600509,19.938599,1424.003577,6521.0,199.0,971.774106,12.043224,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.001173+00:00,2019-05-07 15:05:05.551883+00:00
spoc,48476908,00659.01,PC,150.15405,-34.681556,9.486,0.018,1543.699323,0.002952,4.720083,0.000897,1.694515,0.174566,2213.796074,216.30275,9,two stars of similar brightness in the same pixel; we released 48476907.,4.00966,0.748527,1,1.72045,0.635344,12.777913,17.91806,1452.852789,5990.0,192.0,1052.949269,12.275165,False,3,4,3,3,4,4,4,2019-05-06 19:17:04.045362+00:00,2019-05-07 15:05:05.547319+00:00
spoc,53189332,00660.01,PC,166.429741,-5.079416,10.955,0.018,1544.649978,0.001182,9.290298,0.000911,5.345087,0.109718,6204.326608,129.64064,9,WASP-106 b,4.22795,0.0,1,1.39,0.0,11.115877,0.287572,1040.070237,6055.0,0.0,276.548736,32.97406,False,5,5,5,5,5,5,5,2019-05-06 19:17:04.089307+00:00,2019-05-07 15:05:05.542775+00:00
spoc,53735810,00661.01,PC,158.224969,-34.989848,11.194,0.018,1544.168562,0.001299,4.08653,0.000383,4.448192,0.086974,7379.314262,138.86444,9,WASP-66b,4.0663,0.0,1,1.75,0.0,15.378719,0.319277,1643.154173,6580.0,0.0,1722.797602,39.438835,False,5,5,5,5,5,5,5,2019-05-06 19:17:04.133384+00:00,2019-05-07 15:05:05.538226+00:00
