**************************************************
All Kharchenko+ 2013 clusters in sector 5:

Name            d         logt        N1sr2  total_sectors_obsd
       NGC_1641        985.0        9.520         78.0                  12
       NGC_2348       1076.0        9.475         43.0                  11
       NGC_1557       1820.0        9.500         20.0                  11
       FSR_1514       2754.0        9.500         30.0                  11
       FSR_1470       1055.0        8.630         52.0                  10
       NGC_2132       1003.0        9.045         52.0                  10
       NGC_1901        406.0        8.850        134.0                   9
       FSR_1440       1631.0        8.760         91.0                   4
     ESO_252-14       2180.0        8.655         16.0                   3
       Alessi_3        311.0        8.870         78.0                   3
  Collinder_121       1096.0        7.080        205.0                   2
        ASCC_33        704.0        7.700        434.0                   2
       NGC_1963       1703.0        8.125         35.0                   2
       FSR_1195       3150.0        8.200        114.0                   2
        ASCC_32        767.0        8.215        195.0                   2
       NGC_2220       1393.0        8.560         27.0                   2
       FSR_1317       2180.0        8.600         18.0                   2
     ESO_486-54       2856.0        8.650          8.0                   2
       FSR_1285       1685.0        8.670         64.0                   2
       FSR_1279       2237.0        8.750         60.0                   2
       NGC_2318       1713.0        8.750         77.0                   2
     Ruprecht_9       3434.0        8.795         67.0                   2
     Ruprecht_8       2190.0        8.845         67.0                   2
     Ruprecht_2       3161.0        8.945         22.0                   2
     Tombaugh_2       6565.0        9.010         51.0                   2
    Berkeley_33       4785.0        9.040         63.0                   2
     ESO_309-03       2057.0        9.050         26.0                   2
     Tombaugh_1       2642.0        9.065        188.0                   2
     Ruprecht_3       1259.0        9.100         39.0                   2
       FSR_1185       5374.0        9.100         56.0                   2
       FSR_1303       1833.0        9.175         29.0                   2
     ESO_426-26       1474.0        9.215         54.0                   2
    Berkeley_75       6273.0        9.300         21.0                   2
   Ruprecht_149       3969.0        9.300         49.0                   2
     vdBergh_83       1925.0        9.350         24.0                   2
       NGC_1851      12097.0       10.100         50.0                   2
       NGC_1904      12892.0       10.100         54.0                   2
       NGC_2298      10815.0       10.100         35.0                   2
           B_30        772.0        6.000         36.0                   1
       NGC_1976        458.0        6.000         44.0                   1
      Sigma_Ori        390.0        6.100          9.0                   1
          Wit_1       1952.0        6.350         47.0                   1
  Collinder_106       1581.0        6.415        304.0                   1
       NGC_2068        747.0        6.450          9.0                   1
        BDSB_93       2173.0        6.500         45.0                   1
       Ivanov_9       2839.0        6.500         60.0                   1
       NGC_2071        953.0        6.550         16.0                   1
       NGC_1977        358.0        6.600         24.0                   1
         KMS_35        636.0        6.600          7.0                   1
        L_1641S        497.0        6.620         21.0                   1
        BDSB_91       1918.0        6.650         47.0                   1
       Bochum_2       2778.0        6.665         33.0                   1
       NGC_1980        520.0        6.670         52.0                   1
     vdBergh_80       2069.0        6.680         20.0                   1
       NGC_2264        650.0        6.750        185.0                   1
     Dolidze_25       2800.0        6.750         82.0                   1
   Collinder_69        411.0        6.760        192.0                   1
       NGC_2169       1032.0        6.890         94.0                   1
       FSR_1115       1068.0        6.900         11.0                   1
       Sh2_287C       3344.0        6.900         23.0                   1
        ASCC_20        394.0        7.000        188.0                   1
      Alessi_53       2394.0        7.000         53.0                   1
      Alessi_59       3511.0        7.000         95.0                   1
        ASCC_21        379.0        7.110        232.0                   1
       NGC_1981        388.0        7.110         31.0                   1
       NGC_2183       1047.0        7.150        164.0                   1
       Morgan_8        314.0        7.200         57.0                   1
        BDSB_90       2661.0        7.200         40.0                   1
       NGC_2265       2892.0        7.250         79.0                   1
     Teutsch_13       2753.0        7.295        104.0                   1
        ASCC_24        381.0        7.300         29.0                   1
   Collinder_95        635.0        7.300         50.0                   1
         IC_446       1871.0        7.300         89.0                   1
IRAS_06567-0355       1943.0        7.350        143.0                   1
   Collinder_70        379.0        7.400        411.0                   1
       FSR_0931       1659.0        7.400        134.0                   1
       FSR_0955       1994.0        7.400         35.0                   1
        BDSB_88       1791.0        7.400         42.0                   1
       FSR_1159       1296.0        7.450         36.0                   1
       FSR_0928       3145.0        7.500        100.0                   1
       FSR_1117       1209.0        7.500         26.0                   1
    Berkeley_28       1964.0        7.535         85.0                   1
       FSR_1125       2220.0        7.600         58.0                   1
     vdBergh_85       1893.0        7.685         85.0                   1
       NGC_2232        330.0        7.700        110.0                   1
  Collinder_111       1191.0        7.700         86.0                   1
IRAS_06562-0337       6091.0        7.700         21.0                   1
  Collinder_115       2272.0        7.715        107.0                   1
      Platais_5        272.0        7.780        401.0                   1
       FSR_1116       1579.0        7.785         36.0                   1
   Collinder_96       1056.0        7.800         31.0                   1
        Basel_8       1432.0        7.925        175.0                   1
        Mon_OB3       2120.0        7.940        351.0                   1
        ASCC_29        826.0        8.060         91.0                   1
       NGC_2234       6871.0        8.080         83.0                   1
       FSR_0956       2180.0        8.100        130.0                   1
        Basel_7       1560.0        8.105         59.0                   1
        ASCC_26        981.0        8.150         54.0                   1
       FSR_1144       1737.0        8.180        131.0                   1
       FSR_0925       3616.0        8.200        167.0                   1
       NGC_2186       1445.0        8.200         92.0                   1
       FSR_1136       1287.0        8.200         56.0                   1
       FSR_1072       2204.0        8.200        102.0                   1
      Mon_OB1-D       2647.0        8.230         82.0                   1
        ASCC_30        814.0        8.245         54.0                   1
       FSR_1123       2268.0        8.250         25.0                   1
       NGC_2287        769.0        8.250        302.0                   1
         RMC-4b       1174.0        8.290         17.0                   1
       Ivanov_4       2025.0        8.300        115.0                   1
      vdBergh_1       1490.0        8.315        156.0                   1
     Dolidze_49       2398.0        8.330        102.0                   1
       NGC_2301        805.0        8.350        357.0                   1
       NGC_2302       1310.0        8.350        149.0                   1
       FSR_1080       1753.0        8.370        122.0                   1
       FSR_1129       1881.0        8.385         74.0                   1
   Collinder_97       1259.0        8.400        136.0                   1
        ASCC_31        747.0        8.400         59.0                   1
       FSR_1187       2817.0        8.450         59.0                   1
     Dolidze_24       1261.0        8.450         91.0                   1
       NGC_2251       1329.0        8.455        229.0                   1
       FSR_0933       1875.0        8.465        113.0                   1
         SAI_72       3239.0        8.485         57.0                   1
        ASCC_28        946.0        8.490        204.0                   1
       NGC_2250       1338.0        8.495         94.0                   1
    Berkeley_30       4983.0        8.495         37.0                   1
       FSR_0985       2450.0        8.500        143.0                   1
       FSR_1033       1710.0        8.515         65.0                   1
       FSR_0960       2120.0        8.520         91.0                   1
       FSR_0968       2187.0        8.520         77.0                   1
IRAS_06046-0603        799.0        8.530         29.0                   1
IRAS_05553+1631       8885.0        8.550         18.0                   1
       NGC_2215       1141.0        8.550        293.0                   1
       NGC_2039       2241.0        8.580        107.0                   1
       NGC_2184        621.0        8.600         27.0                   1
      Alessi_14       2088.0        8.600         27.0                   1
       FSR_1025       2095.0        8.600         43.0                   1
       FSR_0967       4783.0        8.625         37.0                   1
       NGC_2259       3060.0        8.625        117.0                   1
       FSR_1105       1581.0        8.630         52.0                   1
       FSR_1031       1791.0        8.635        149.0                   1
       FSR_1099       1952.0        8.635         91.0                   1
   Collinder_91       1467.0        8.640        271.0                   1
       NGC_2286       1964.0        8.640        202.0                   1
      Alessi_60       2610.0        8.640         81.0                   1
       FSR_0930       2035.0        8.645         53.0                   1
       FSR_1110       2025.0        8.650         22.0                   1
       FSR_1107       3009.0        8.650         50.0                   1
     Dolidze_23       1195.0        8.650        189.0                   1
      Alessi_16       2088.0        8.650         26.0                   1
       FSR_0941       4610.0        8.665        109.0                   1
       NGC_2254       2928.0        8.675         87.0                   1
       FSR_0977       1916.0        8.680         88.0                   1
       FSR_0951       1619.0        8.700        288.0                   1
       FSR_0979       1933.0        8.700         97.0                   1
        ASCC_27       1159.0        8.700        193.0                   1
           DC_4       2304.0        8.700         23.0                   1
       FSR_0939       2397.0        8.710        312.0                   1
    Berkeley_26       2724.0        8.710         32.0                   1
       FSR_1032       1944.0        8.720         35.0                   1
       FSR_0923       1444.0        8.725        211.0                   1
       FSR_0957       1786.0        8.735         96.0                   1
       FSR_1085       1429.0        8.735         88.0                   1
       NGC_2309       2384.0        8.735        162.0                   1
       FSR_0921       1810.0        8.750        149.0                   1
       FSR_0953       1734.0        8.750         65.0                   1
       NGC_2219       2325.0        8.750         64.0                   1
       NGC_2236       2654.0        8.750        180.0                   1
       FSR_0948       2991.0        8.780         93.0                   1
          Wit_2       2830.0        8.785        177.0                   1
       FSR_1065       1551.0        8.790        112.0                   1
     Ruprecht_1       1204.0        8.790         71.0                   1
       FSR_1051       1180.0        8.790        131.0                   1
       NGC_2194       2804.0        8.800        325.0                   1
     Teutsch_11       5302.0        8.800        120.0                   1
       FSR_1092       1922.0        8.800        109.0                   1
       FSR_1053       1202.0        8.800        133.0                   1
       FSR_1172       2290.0        8.800         57.0                   1
       NGC_2312       2436.0        8.810         39.0                   1
       NGC_2311       2221.0        8.815        134.0                   1
       FSR_1082       4040.0        8.840        130.0                   1
     ESO_489-01        981.0        8.850         24.0                   1
       FSR_1132       1892.0        8.850         47.0                   1
       FSR_1094       1627.0        8.850         61.0                   1
       FSR_0999       1306.0        8.850         85.0                   1
       NGC_2252        900.0        8.860        251.0                   1
       FSR_1063       2032.0        8.860        153.0                   1
       FSR_0991       1934.0        8.870         26.0                   1
       FSR_0924       1721.0        8.870         89.0                   1
       FSR_1164       1614.0        8.870         49.0                   1
       FSR_1151       2864.0        8.890         79.0                   1
       FSR_1106       2038.0        8.900         92.0                   1
       FSR_0974       2308.0        8.910        124.0                   1
       NGC_2270       1415.0        8.915        213.0                   1
           B_35        612.0        8.920        265.0                   1
       FSR_0988       2928.0        8.920         92.0                   1
       FSR_1029       1905.0        8.930         77.0                   1
       FSR_0962       2670.0        8.935        114.0                   1
       FSR_1077       1298.0        8.935        116.0                   1
       FSR_0998       1775.0        8.950         47.0                   1
    Patchick_90       6365.0        8.950         57.0                   1
       FSR_0936       3161.0        8.955         78.0                   1
       FSR_0937       4597.0        8.980         71.0                   1
       NGC_2262       2511.0        8.995        117.0                   1
     Czernik_27       4338.0        8.995         19.0                   1
       FSR_0942       2082.0        9.000        134.0                   1
     Czernik_26       7655.0        9.000         75.0                   1
       NGC_2306       1249.0        9.000        169.0                   1
       FSR_1197       1634.0        9.000         39.0                   1
     ESO_425-15       1070.0        9.005         17.0                   1
     Ruprecht_4       4591.0        9.005        111.0                   1
     Juchert_18       2290.0        9.020         41.0                   1
       FSR_1066       1656.0        9.025         86.0                   1
       NGC_2319        985.0        9.035         89.0                   1
       FSR_1056       2589.0        9.045         88.0                   1
       FSR_1057       2910.0        9.065         81.0                   1
   Collinder_74       2637.0        9.090        114.0                   1
       NGC_2143       1490.0        9.090        141.0                   1
       FSR_1017       2127.0        9.100          8.0                   1
       FSR_1050       1241.0        9.100         32.0                   1
       FSR_1205       1893.0        9.100         45.0                   1
       FSR_0932       1508.0        9.100         87.0                   1
       FSR_0975       4626.0        9.100         26.0                   1
         SAI_69       7468.0        9.100         40.0                   1
       FSR_1191       3361.0        9.100         44.0                   1
       FSR_0952       1994.0        9.105        209.0                   1
       FSR_1027       2325.0        9.110         62.0                   1
       FSR_1126       2201.0        9.125         73.0                   1
       NGC_2243       4446.0        9.135         41.0                   1
    Berkeley_73       7881.0        9.150         33.0                   1
     Ruprecht_5       4712.0        9.150         27.0                   1
       FSR_1163       1706.0        9.150         60.0                   1
       FSR_0907       2710.0        9.155         32.0                   1
       NGC_2225       3201.0        9.165         57.0                   1
       NGC_2189       1468.0        9.175        102.0                   1
      Alessi_15       2362.0        9.190         32.0                   1
       NGC_2202       1940.0        9.200         62.0                   1
       FSR_1171       4933.0        9.200         44.0                   1
    Berkeley_24       5527.0        9.210        213.0                   1
  Collinder_110       2362.0        9.220        623.0                   1
       FSR_1078       1661.0        9.235         54.0                   1
       NGC_2141       4364.0        9.245        192.0                   1
       FSR_1235       1871.0        9.255         41.0                   1
         Dias_2       2973.0        9.270        116.0                   1
       FSR_1131       4432.0        9.300         42.0                   1
       FSR_1210       3720.0        9.300         75.0                   1
    Berkeley_27       5042.0        9.300         63.0                   1
     Ruprecht_6       5919.0        9.300         36.0                   1
    Berkeley_31       6242.0        9.300         66.0                   1
       FSR_0884       2711.0        9.315        106.0                   1
       NGC_2112        977.0        9.315        584.0                   1
       FSR_1167       2325.0        9.385         75.0                   1
     ESO_425-06       1077.0        9.400         16.0                   1
       FSR_0940       2421.0        9.400         71.0                   1
    Berkeley_32       4996.0        9.450        129.0                   1
    Berkeley_34       7279.0        9.450         58.0                   1
    Berkeley_22       5493.0        9.500         33.0                   1
     Trumpler_5       2753.0        9.500        792.0                   1
    Berkeley_25      11400.0        9.700         39.0                   1
